Survived	PassengerId	Pclass	Age	SibSp	Parch	Fare	Sex_female	Sex_male	Embarked_C	Embarked_Q	Embarked_S	Name_Capt	Name_Col	Name_Don	Name_Dr	Name_Lady	Name_Major	Name_Master	Name_Miss	Name_Mlle	Name_Mme	Name_Mr	Name_Mrs	Name_Rev	Name_Sir
0	530	2	23.0	2	1	11.50	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
0	466	3	38.0	0	0	7.05	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
0	753	3	33.0	0	0	9.50	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
0	855	2	44.0	1	0	26.00	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False
0	333	1	38.0	0	1	153.46	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
0	39	3	18.0	2	0	18.00	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
0	236	3	29.36	0	0	7.55	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
0	303	3	19.0	0	0	0.00	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
1	18	2	29.36	0	0	13.00	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
1	505	1	16.0	0	0	86.50	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
1	670	1	29.36	1	0	52.00	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False
1	316	3	26.0	0	0	7.85	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
1	690	1	15.0	0	1	211.34	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
1	718	2	27.0	0	0	10.50	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
1	580	3	32.0	0	0	7.92	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
0	697	3	44.0	0	0	8.05	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
1	193	3	19.0	1	0	7.85	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False
0	634	1	29.36	0	0	0.00	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
1	858	1	51.0	0	0	26.55	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
1	329	3	31.0	1	1	20.52	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False
0	784	3	29.36	1	2	23.45	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False
